channel,message_id,date,text,views,forwards,media_type
CheMed123,97,2023-02-10 12:23:06+00:00,"⚠️**Notice!
**Dear esteemed customers,
Due to four-day motorbike movement restrictions, we have limited our services to matchmaking,drug information, and medical consultation only.

**N.B. 
**🔅We will make deliveries for those for whom the medications are urgent.
🔅You can book deliveries starting from Monday, February 13, 2023",1388,2,photo
CheMed123,96,2023-02-02 08:58:52+00:00,"Mela-One በውስጡ ሆርሞን ያለው ድንገተኛ ወሊድ መቆጣጠርያ ሲሆን ያለመከላከያ የተደረገ የግብረስጋ ግንኙነት ሲኖር በ72 ሰዓታት ወስጥ መወሰድ ይኖርበታል።

📌ከChe-Med ለማዘዝ፡ 
በቴሌግራም ግሩፓችን- t.me/CheMeds
ዌብሳይት- www.chemeds.org
ይዘዙን።",1235,3,photo
CheMed123,95,2023-02-01 08:59:37+00:00,"**አዚትሮማይሲን** በሃኪም መድሃኒት ማዘዣ ከሚታዘዙ አንቲባዮቲኮች አንዱ ሲሆን በርከት ያሉ ባክቴርያዎችን ይገላል።

በቀን አንዴ ለ3 ቀናት ምግብ ከመብላታችን 1 ሰዓት ቀደም ብሎ ወይንም ከበላን ከ 2 ሰዓት በኋላ መወሰድ ይኖርበታል።

📌የሃኪም ማዘዣ ካልዎት 
በቴሌግራም ግሩፓችን-t.me/CheMeds
ዌብሳይት- www.chemeds.org
ይላኩልን።",1112,4,photo
CheMed123,94,2023-01-31 09:19:53+00:00,"**Che-Med Trivia #3

**ምግብና መጠጦች አንዳንድ መድሃኒቶች በደንብ እንዳይሰሩ ሊያደርጉ ይችላሉ። በዚህ ሁኔታ እነዚህን መድሃኒቶች ምግብ ከወሰድን ከ1 ሰዓት እስከ 2 ሰዓት ባለ ጊዜ ውስጥ መውሰድ ያስፈልግዎታል።

ከነዚህም ወስጥ **የእንቅርት መድሃኒቶች፣Omeprazole፣Sildenafil(Viagra)፣Captopril እና Ampicillin** ይጠቀሳሉ።

መድሃኒትዎ ከምግብ ጋር ያለውን አወሳሰድ እርግጠኛ ካልሆኑ ሃኪምዎን ወይም ፋርማሲስትዎን ያማክሩ።",858,1,photo
CheMed123,93,2023-01-30 09:45:25+00:00,"**Che-Med Trivia #2

**እንደ Ciprofloxacin, Doxycycline, Levothyroxine, Iron supplement ያሉ መድሃኒቶችን ከወተት እና ከወተት ተዋፅዖዎች ጋር እንዲሁም ከእንቁላል ጋር መውሰድ መድሃኒቶቹ በሰውነታችን የሚፈለገውን ስራ እንዳይሰሩ ያደርጋቸዋል።

ይህም በወተት ተዋጽኦዎች ውስጥ ያለው ካልሲየም እነዚህ መድሃኒቶች በሰውታችን ወስጥ እንዳይዋህዱ ጣልቃ ስለሚገባ ነው።",743,2,photo
CheMed123,92,2023-01-27 07:18:40+00:00,"**You can get our services at:
**Our pharmacist:** ****https://t.me/CheMedAssistant9798****
**Our call center: **9798
**Our website: **www.chemeds.org**",714,0,photo
CheMed123,91,2023-01-26 18:27:53+00:00,"**Che-Med Trivia #1
**The U.S. pharmaceutical industry is the largest in the world, making up about 40% of the worldwide drug development, manufacturing, and revenue generation. And half of the world’s top 10 pharmaceutical companies are in America, including the headquarters for Johnson & Johnson, Pfizer, Merck and Co., AbbVie, Eli Lilly and Co., and Abbott Laboratories. In fact, Johnson & Johnson’s revenue alone reached $82.6 billion in 2020.",632,0,photo
CheMed123,90,2023-01-23 10:39:20+00:00,"**CVS Daytime & Nighttime Cold and Flu Relief

**ለሰሞኑ ጉንፋን ማስታገሻ በአንደኝነት ተመራጭ የሆነውን **CVS Daytime & Nighttime Cold and Flu Relief** Che-Med ይዞላችሁ መጧል።

በቁጥር ውስን ስለሆኑ ቀድመው ይዘዙን።

ለማዘዝ፦
Our pharmacist:** ****https://t.me/CheMedAssistant9798****
**Our call center: **9798
**Our website: www.chemeds.org

Che-Med is the best way to find your meds!",657,2,photo
CheMed123,89,2023-01-17 19:10:57+00:00,"🟠ለናንተ ለደምበኞቻችን ይሆናሉ ያልናቸዉን ምርጥ ቫይታሚንና ሰፕልመንቶች እነሆ!!

አጭር የTiktok ቪዲዮአችንን በመመልከት ግንዛቤዎን ይጨምሩ።
👇👇👇👇👇👇👇👇👇👇👇👇👇
https://vm.tiktok.com/ZMYJHUVde/

የTiktok ቻናላችንን Like እና Follow ያድርጉ።",2296,4,document (video/mp4)
CheMed123,88,2023-01-17 08:43:12+00:00,"🌞**Sundown Cinnamon!
Supports sugar metabolism**.

Che-Med **Sundown Cinnamon** **Supplement Product** ይዞላችሁ መጧል።

በቁጥር ውስን ስለሆኑ ቀድመው ይዘዙን።

ለማዘዝ፦
Our pharmacist:** ****https://t.me/CheMedAssistant9798****
**Our call center: **9798

**Che-Med is the best way to find your meds!",540,0,photo
CheMed123,87,2023-01-16 13:41:35+00:00,"**📻Che-Med** held fruit-bearing discussion at **ሳይበርኛ** radio program on Fana 98.1FM about digital health care and privacy and security of E-commerce.

We discussed in details current trends in digital healthcare, It's benefits, challenges, and opportunities.

You can listen to us at 08:00PM tonight and increase your understanding about the current activities of digital health care and its future.

Che-Med",458,0,photo
CheMed123,86,2023-01-16 10:13:42+00:00,"🔵**Get GOFEN from Che-Med!

**Our pharmacist:** ****https://t.me/CheMedAssistant9798****
**Our call center: **9798
**Website: **www.chemeds.org****

**Che-Med the best way to find your meds!",437,3,photo
CheMed123,85,2023-01-16 09:26:09+00:00,"⚠️**Notice!
**Dear esteemed customers,
Due to four-days motorbike movement restrictions, we have limited our services to matchmaking,drug information and medical consultation only.

**N.B. 
**🔅We will make deliveries for whom the medications are urgent.
🔅You can book deliveries starting from Friday, Jan 20.",397,1,photo
CheMed123,82,2023-01-13 12:48:47+00:00,"**Nature's Bounty Supplement Products** **are here!

**Che-Med **Nature's Bounty Supplement Products** ይዞላችሁ መጧል።

በቁጥር ውስን ስለሆኑ ቀድመው ይዘዙን።

ለማዘዝ፦
Our pharmacist:** ****https://t.me/CheMedAssistant9798****
**Our call center: **9798

**Che-Med the best way to find your meds!",410,0,photo
CheMed123,81,2023-01-13 09:44:14+00:00,"**Nature's Bounty Supplement Products** **are here!

**Che-Med **Nature's Bounty Supplement Products** ይዞላችሁ መጧል።

በቁጥር ውስን ስለሆኑ ቀድመው ይዘዙን።

ለማዘዝ፦
Our pharmacist:** ****https://t.me/CheMedAssistant9798****
**Our call center: **9798

**Che-Med the best way to find your meds!",1790,5,photo
CheMed123,80,2023-01-06 16:06:21+00:00,"**ስለ Nature Made Vitamin supplement** tiktok ላይ እንንገርዎ።

ለማየት፡ https://vm.tiktok.com/ZMFw4DarV/

በቁጥር ውስን ስለሆኑ ቀድመው ይዘዙን።

ለማዘዝ፦
Our pharmacist:** **https://t.me/CheMedAssistant9798**
**Our call center: **9798

**Follow our channel and stay tuned
https://t.me/CheMeds

Che-Med the best way to find your meds!",1137,4,photo
CheMed123,79,2023-01-06 09:31:17+00:00,"🎄Che-Med ለመላው ክርስትያን ቤተሰቦቻችን መልካም የገና በዓል እንዲሆንልዎ ይመኛል።

መልካም በዓል!!",368,0,photo
CheMed123,78,2023-01-06 06:05:01+00:00,,889,1,photo
CheMed123,77,2023-01-04 05:58:02+00:00,"**Nature Made Vitamin supplements

**Che-Med በደምበኞቻችን ፍላጎት መሰረት Nature made vitamin supplement ይዞላችሁ መጧል።

በቁጥር ውስን ስለሆኑ ቀድመው ይዘዙን።

ለማዘዝ፦
Our pharmacist:** ****https://t.me/CheMedAssistant9798****
**Our call center: **9798

**Follow our channel and stay tuned
https://t.me/CheMeds

Che-Med the best way to find your meds!",13787,7,photo
CheMed123,76,2023-01-03 17:49:48+00:00,"በwww.chemeds.org መድሃኒትዎን የሚያዙበትን መንገድ የሚያሳይ tiktok ቪዲዮ።

👇👇👇👇👇👇👇👇👇👇👇
https://vm.tiktok.com/ZMFTkBoWk/",369,1,photo
CheMed123,75,2023-01-03 05:48:34+00:00,✨በChe-Med የጥሪ ማዕከል 9798 ላይ ደውለው  በመመዝገብ በየወሩ የሚያስፈልግዎትን ኢንሱሊን ቤትዎ በር ድረስ ያስመጡ።,1232,3,photo
CheMed123,74,2023-01-02 07:02:55+00:00,,923,1,photo
CheMed123,73,2023-01-02 06:58:48+00:00,,879,1,document (video/mp4)
CheMed123,71,2022-12-30 15:45:35+00:00,"Che-Med at Smart city symposium, National science museum.
 
Like share and subscribe our tiktok vlog.
👇👇👇👇👇👇👇👇👇👇👇👇👇
https://vm.tiktok.com/ZMFcHq5Xk/",15077,4,photo
CheMed123,70,2022-12-28 17:02:08+00:00,"Buy you Power Plus supplement from Che-Med.

For more information please watch our tiktok video by pressing the link below.
👇👇👇👇👇👇👇👇👇👇👇👇👇
https://vm.tiktok.com/ZMFv4PRtp/",410,1,photo
CheMed123,67,2022-12-28 06:31:50+00:00,"Order your **Power plus Vitamin and mineral supplement** from Che-Med.

**Call center:** 9798
**Website**: www.chemeds.org",1115,6,photo
CheMed123,64,2022-12-27 17:06:32+00:00,"Che-Med

✨Che-Med የመድሀኒትና የህክምና እቃዎች  አፋላጊ እና አቅራቢ ድርጅት ነው፡፡ ከ100 በላይ አጋር ፋርማሲዎች ጋር በመተባበር መድሀኒቶችን ከአጋር ፋርማሲዎች ማሰባሰብ (Pharmaceutical product aggregation), መድሀኒት ፈልጎ ማግኘት(Matchmaking), እና ደንበኞች የፈለጉት ቦታ መድሀኒት/የህክምና እቃዎችን ማድረስ (Delivery) አገልግሎቶችን በቴክኖሎጂ በመታገዝ ይሰጣል፡፡  

✨ደንበኞች በዌብሳይታችን www.chemeds.org  ወይንም በጥሪ ማዕከላችን 9798 በመደወል ስለመድሃኒት መረጃ ማግኘት ይችላሉ፤ መድሃኒት ማዘዝ ይችላሉ አንዲሁም ስለጤናቸው አጠቃላይ የማማከር አገልግሎት ያገኛሉ፡፡

✨ወደ ቴሌግራም ግሩፓችን ለመቀላቀል ከታች ያለውን ሊንክ ይጫኑ።",13701,10,photo
CheMed123,62,2022-12-25 15:46:05+00:00,"💥የምስራች ከChe-Med

።።።።።።Che-Med አስታዋሽ።።።።።።

Che-Med አስታዋሽ ለረጅም ጊዜ የሚወስዱትን እንደ የደም ግፊትና ስኳር ህመም መድሀኒቶች በየሳምንት፣ በየወሩ እንዲሁም በፈለጉት ጊዜ አስታውሶ በርዎ ድረስ ያመጣል።

ከታች ያለውን የTikTok ሊንክ በመጫን ስለአገልግሎታችን ይወቁ።

👇👇👇👇👇👇👇👇👇👇👇
https://vm.tiktok.com/ZMF7kJA7F/",2011,5,document (video/mp4)
CheMed123,60,2022-12-23 06:26:15+00:00,"**ቀጠሮ ያስይዙ!
**በ ጥሪ ማዕከላችን **9798** በመደወል የዕንቅርት ህመም መቆጣጠርያ መድሃኒት በየወሩ ለማስመጣት Che-Med ላይ ይመዝገቡ። እኛ ወሩን ጠብቀን መድሃኒትዎን በርዎ ድረስ እናደርሳለን።

Che-Med is the best way to find your meds!

*********
Follow our telegram channel
https://t.me/CheMed123
👆👆👆👆👆👆👆👆👆",378,0,photo
CheMed123,59,2022-12-22 06:40:25+00:00,"ቀጠሮ ያስይዙ!
በ ጥሪ ማዕከላችን **9798** በመደወል የግፊት መድሃኒትዎን በየወሩ ለማስመጣት Che-Med ላይ ይመዝገቡ። እኛ ወሩን ጠብቀን መድሃኒትዎን በርዎ ድረስ እናደርሳለን።

Che-Med is the best way to find your meds!

*********
Follow our telegram channel
https://t.me/CheMed123
👆👆👆👆👆👆👆👆👆",7409,11,photo
CheMed123,58,2022-12-22 03:11:26+00:00,"www.chemeds.org መድሀኒትዎን ለማግኘት ዘመናዊው መንገድ ነው፡፡ በድረገጻችን አማካኝነት መድኃኒትዎን ከፈለጉት ቦታ ይዘዙ ያሉበት ቦታ መድሃኒትዎን እናደርስልዎታለን፡፡

በተጨማሪም በጥሪ ማዕከላችን **9798** በመደወል ስለመድሃኒት መረጃ ይጠይቁ፤ መድሃኒት ይዘዙ  ስለጤናዎ በሐኪሞች የታገዘ የማማከር አገልግሎት ያግኙ፡፡",378,1,photo
CheMed123,57,2022-12-21 15:13:27+00:00,"Please follow our tiktok channel
https://vm.tiktok.com/ZMFnaVcq2/",1292,5,photo
CheMed123,56,2022-12-20 17:25:05+00:00,,1243,6,photo
